id,sample_id,type,control_type
Climb2-Cartago1,Climb2-Cartago1,sample,NA
Climb2-CB1,Climb2-CB1,sample,NA
Climb2-CH1,Climb2-CH1,sample,NA
Climb2-CH2,Climb2-CH2,sample,NA
Climb2-DarwinD5,Climb2-DarwinD5,sample,NA
Climb2-Egas1,Climb2-Egas1,sample,NA
Climb2-Egas3,Climb2-Egas3,sample,NA
Climb2-Finado2,Climb2-Finado2,sample,NA
Climb2-GEM2,Climb2-GEM2,sample,NA
Climb2-GW55,Climb2-GW55,sample,NA
Climb2-GW69,Climb2-GW69,sample,NA
Climb2-GW70,Climb2-GW70,sample,NA
Climb2-GW72,Climb2-GW72,sample,NA
Climb2-GW73,Climb2-GW73,sample,NA
Climb2-GW76,Climb2-GW76,sample,NA
Climb2-GW78,Climb2-GW78,sample,NA
Climb2-GW88,Climb2-GW88,sample,NA
Climb2-GW89,Climb2-GW89,sample,NA
Climb2-GW90,Climb2-GW90,sample,NA
Climb2-GW91,Climb2-GW91,sample,NA
Climb2-GWextcon,Climb2-GWextcon,sample,NA
Climb2-GWFN5,Climb2-GWFN5,sample,NA
Climb2-Leo2R1,Climb2-Leo2R1,sample,NA
Climb2-MarchenaR1,Climb2-MarchenaR1,sample,NA
Climb2-MW10,Climb2-MW10,sample,NA
Climb2-MW2,Climb2-MW2,sample,NA
Climb2-MW31T,Climb2-MW31T,sample,NA
Climb2-MW40,Climb2-MW40,sample,NA
Climb2-Mwextneg,Climb2-Mwextneg,sample,NA
Climb2-PCRneg,Climb2-PCRneg,sample,NA
Climb2-Tuneles1,Climb2-Tuneles1,sample,NA
Climb2-Tuneles3,Climb2-Tuneles3,sample,NA
Climb2-WolfR4,Climb2-WolfR4,sample,NA
